split begin
counting lines of answers_comments.jsonl
total lines of answers_comments.jsonl is: 386956992
total_iteration: 2418
ceil_iteration: 2418

 iteration 0, total: 2419 
 iteration 1, total: 2419 
 iteration 2, total: 2419 
 iteration 3, total: 2419 
 iteration 4, total: 2419 
 iteration 5, total: 2419 
 iteration 6, total: 2419 
 iteration 7, total: 2419 
 iteration 8, total: 2419 
 iteration 9, total: 2419 
 iteration 10, total: 2419 
 iteration 11, total: 2419 
 iteration 12, total: 2419 
 iteration 13, total: 2419 
 iteration 14, total: 2419 
 iteration 15, total: 2419 
 iteration 16, total: 2419 
 iteration 17, total: 2419 
 iteration 18, total: 2419 
 iteration 19, total: 2419 
 iteration 20, total: 2419 
 iteration 21, total: 2419 
 iteration 22, total: 2419 
 iteration 23, total: 2419 
 iteration 24, total: 2419 
 iteration 25, total: 2419 
 iteration 26, total: 2419 
 iteration 27, total: 2419 
 iteration 28, total: 2419 
 iteration 29, total: 2419 
 iteration 30, total: 2419 
 iteration 31, total: 2419 
 iteration 32, total: 2419 
 iteration 33, total: 2419 
 iteration 34, total: 2419 
 iteration 35, total: 2419 
 iteration 36, total: 2419 
 iteration 37, total: 2419 
 iteration 38, total: 2419 
 iteration 39, total: 2419 
 iteration 40, total: 2419 
 iteration 41, total: 2419 
 iteration 42, total: 2419 
 iteration 43, total: 2419 
 iteration 44, total: 2419 
 iteration 45, total: 2419 
 iteration 46, total: 2419 
 iteration 47, total: 2419 
 iteration 48, total: 2419 
 iteration 49, total: 2419 
 iteration 50, total: 2419 
 iteration 51, total: 2419 
 iteration 52, total: 2419 
 iteration 53, total: 2419 
 iteration 54, total: 2419 
 iteration 55, total: 2419 
 iteration 56, total: 2419 
 iteration 57, total: 2419 
 iteration 58, total: 2419 
 iteration 59, total: 2419 
 iteration 60, total: 2419 
 iteration 61, total: 2419 
 iteration 62, total: 2419 
 iteration 63, total: 2419 
 iteration 64, total: 2419 
 iteration 65, total: 2419 
 iteration 66, total: 2419 
 iteration 67, total: 2419 
 iteration 68, total: 2419 
 iteration 69, total: 2419 
 iteration 70, total: 2419 
 iteration 71, total: 2419 
 iteration 72, total: 2419 
 iteration 73, total: 2419 
 iteration 74, total: 2419 
 iteration 75, total: 2419 
 iteration 76, total: 2419 
 iteration 77, total: 2419 
 iteration 78, total: 2419 
 iteration 79, total: 2419 
 iteration 80, total: 2419 
 iteration 81, total: 2419 
 iteration 82, total: 2419 
 iteration 83, total: 2419 
 iteration 84, total: 2419 
 iteration 85, total: 2419 
 iteration 86, total: 2419 
 iteration 87, total: 2419 
